Date,Open ,High,Low,Close,Adj Close,Volume,Datetimes
"Nov 22, 2022",284.99,286.98,277.34,286.69,286.69,"6,245,100",2022-11-22
"Nov 23, 2022",285.91,292.47,283.76,291.5,291.5,"5,919,000",2022-11-23
"Nov 25, 2022",289,289.21,284.17,285.54,285.54,"3,236,000",2022-11-25
"Nov 28, 2022",284,289.55,280.53,281.17,281.17,"4,703,400",2022-11-28
"Nov 29, 2022",282.5,282.96,275.94,280.96,280.96,"5,786,900",2022-11-29
"Nov 30, 2022",281.37,308.26,280.41,305.53,305.53,"16,070,100",2022-11-30
"Dec 1, 2022",303.99,319.8,303.03,316.95,316.95,"14,664,900",2022-12-01
"Dec 2, 2022",310.49,321.99,310,320.41,320.41,"12,690,600",2022-12-02
"Dec 5, 2022",316.46,322.77,310.92,312.59,312.59,"8,423,000",2022-12-05
"Dec 6, 2022",311,313.22,303.13,305.56,305.56,"7,195,400",2022-12-06
"Dec 7, 2022",306.5,309.61,302.1,308.42,308.42,"7,821,600",2022-12-07
"Dec 8, 2022",309.11,312.38,304.81,310.26,310.26,"7,205,300",2022-12-08
"Dec 9, 2022",321.45,329,319.52,320.01,320.01,"14,364,000",2022-12-09
"Dec 12, 2022",320,323.18,308.85,315.18,315.18,"10,148,600",2022-12-12
"Dec 13, 2022",328,332.72,317.2,320.34,320.34,"10,756,400",2022-12-13
"Dec 14, 2022",318.97,324.71,314.42,317.83,317.83,"7,543,300",2022-12-14
"Dec 15, 2022",302.12,303.39,286.55,290.41,290.41,"17,724,600",2022-12-15
"Dec 16, 2022",288.76,294.72,288.7,290.71,290.71,"14,080,000",2022-12-16
"Dec 19, 2022",289.73,292.25,286.13,288.3,288.3,"6,163,700",2022-12-19
"Dec 20, 2022",281.24,289.28,280.81,288.19,288.19,"6,918,100",2022-12-20
"Dec 21, 2022",289.99,300.66,286.5,297.96,297.96,"6,376,200",2022-12-21
"Dec 22, 2022",298.09,298.88,290.81,297.75,297.75,"7,856,200",2022-12-22
"Dec 23, 2022",296.18,298.46,291.91,294.96,294.96,"4,251,100",2022-12-23
"Dec 27, 2022",293.19,293.57,282.13,284.17,284.17,"5,778,100",2022-12-27
"Dec 28, 2022",281.92,285.19,273.41,276.88,276.88,"5,964,400",2022-12-28
"Dec 29, 2022",283.18,295.5,281.01,291.12,291.12,"9,588,500",2022-12-29
"Dec 30, 2022",285.53,295.01,283.22,294.88,294.88,"7,566,900",2022-12-30
"Jan 3, 2023",298.06,298.39,288.7,294.95,294.95,"6,764,000",2023-01-03
"Jan 4, 2023",298.24,311.14,295.51,309.41,309.41,"9,345,100",2023-01-04
"Jan 5, 2023",307,314.18,304.55,309.7,309.7,"8,328,400",2023-01-05
"Jan 6, 2023",311.57,316.77,303.69,315.55,315.55,"8,959,800",2023-01-06
"Jan 9, 2023",316.83,321.7,313.22,315.17,315.17,"6,766,600",2023-01-09
"Jan 10, 2023",311.07,329.35,311.07,327.54,327.54,"13,072,300",2023-01-10
"Jan 11, 2023",326.5,328.88,321.35,327.26,327.26,"9,579,700",2023-01-11
"Jan 12, 2023",332.5,332.95,323.14,330.13,330.13,"10,856,200",2023-01-12
"Jan 13, 2023",329.97,336.65,328.89,332.82,332.82,"8,286,800",2023-01-13
"Jan 17, 2023",331.08,332.5,323.6,326.22,326.22,"9,247,000",2023-01-17
"Jan 18, 2023",326.75,330.08,321.25,326.33,326.33,"7,814,100",2023-01-18
"Jan 19, 2023",322.57,324.89,313.39,315.78,315.78,"18,008,200",2023-01-19
"Jan 20, 2023",336.79,344,332.63,342.5,342.5,"28,430,300",2023-01-20
"Jan 23, 2023",341.72,362.25,340.63,357.42,357.42,"15,646,900",2023-01-23
"Jan 24, 2023",357.53,365.65,355.14,363.83,363.83,"11,796,500",2023-01-24
"Jan 25, 2023",360.57,368.9,358.5,367.96,367.96,"7,766,900",2023-01-25
"Jan 26, 2023",368.77,369.02,361.7,364.87,364.87,"8,256,800",2023-01-26
"Jan 27, 2023",363.2,365.92,360.59,360.77,360.77,"6,703,500",2023-01-27
"Jan 30, 2023",358.44,360.95,352.86,353.11,353.11,"5,127,600",2023-01-30
"Jan 31, 2023",349.98,355.95,348.71,353.86,353.86,"5,660,700",2023-01-31
"Feb 1, 2023",353.86,365.39,349.91,361.99,361.99,"8,005,200",2023-02-01
"Feb 2, 2023",365.16,368.32,358.43,366.89,366.89,"7,857,000",2023-02-02
"Feb 3, 2023",359.08,379.43,359,365.9,365.9,"9,402,000",2023-02-03
"Feb 6, 2023",363.64,368.45,360.68,361.48,361.48,"4,994,900",2023-02-06
"Feb 7, 2023",358.51,364.18,354.18,362.95,362.95,"6,289,400",2023-02-07
"Feb 8, 2023",360.02,368.19,358.31,366.83,366.83,"6,253,200",2023-02-08
"Feb 9, 2023",372.41,373.83,361.74,362.5,362.5,"6,901,100",2023-02-09
"Feb 10, 2023",359.16,362.14,347.14,347.36,347.36,"7,291,100",2023-02-10
"Feb 13, 2023",349.5,359.7,344.25,358.57,358.57,"7,134,400",2023-02-13
"Feb 14, 2023",357.55,363.75,353.4,359.96,359.96,"4,624,800",2023-02-14
"Feb 15, 2023",356.63,362.88,354.24,361.42,361.42,"3,966,000",2023-02-15
"Feb 16, 2023",355,361.5,350.31,350.71,350.71,"5,215,700",2023-02-16
"Feb 17, 2023",347.91,349,342.44,347.96,347.96,"5,294,700",2023-02-17
"Feb 21, 2023",342.85,344.13,336.42,337.5,337.5,"5,710,300",2023-02-21
"Feb 22, 2023",337.5,341.91,332.82,334.88,334.88,"4,546,200",2023-02-22
"Feb 23, 2023",331.23,331.28,314.3,323.65,323.65,"13,238,700",2023-02-23
"Feb 24, 2023",319.3,321.5,314.52,317.15,317.15,"6,830,700",2023-02-24
"Feb 27, 2023",323.87,330,322.12,323.03,323.03,"6,142,600",2023-02-27
"Feb 28, 2023",323.7,327.62,321.17,322.13,322.13,"3,676,100",2023-02-28
"Mar 1, 2023",321.55,326.6,312.36,313.48,313.48,"4,911,300",2023-03-01
"Mar 2, 2023",310.96,315.57,310.38,311.88,311.88,"4,911,000",2023-03-02
"Mar 3, 2023",315.45,317.49,310.82,315.18,315.18,"5,953,300",2023-03-03
